epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.3881,0.00018,100.587,0.0001,0,0,0,0,2e-05,203.424,1e-05,0.00064,0.00064,0.00064
2,183.982,0.00064,68.6278,0.00031,0,0,0,0,0.00012,121.47,5e-05,0.00127426,0.00127426,0.00127426
3,283.421,0.0232,53.8738,0.00795,0,0,0,0,0,102.067,0,0.00188238,0.00188238,0.00188238
4,392.718,0.61623,41.0277,0.2387,0,0,0,0,0,74.6453,0,0.0018812,0.0018812,0.0018812
5,494.645,2.80339,30.4437,0.77135,0,0,0,0,0,39.5661,0,0.0018416,0.0018416,0.0018416
6,599.739,4.24441,20.9374,1.13379,0,0,0,0,4.71261,9.43028,1.31641,0.001802,0.001802,0.001802
7,705.713,4.19512,12.2225,1.19651,0,0,0,0,4.55968,20.1349,1.23168,0.0017624,0.0017624,0.0017624
8,810.477,4.32853,9.875,1.24053,0,0,0,0,3.87686,5.55446,1.17961,0.0017228,0.0017228,0.0017228
9,914.035,4.32963,8.14076,1.1676,0,0,0,0,2.99801,19.1872,1.02624,0.0016832,0.0016832,0.0016832
10,1012.9,4.48099,6.56906,1.24117,0,0,0,0,4.13941,6.26769,1.16873,0.0016436,0.0016436,0.0016436
11,1111.44,4.28591,5.17756,1.22871,0.00729,0.25926,0.06183,0.01852,3.71997,4.33792,1.13058,0.001604,0.001604,0.001604
12,1208.43,4.25568,4.02351,1.20971,0.00508,0.59259,0.15311,0.04869,3.28909,3.56824,1.1575,0.0015644,0.0015644,0.0015644
13,1303.07,3.81228,2.90103,1.17537,0.48356,0.44444,0.44496,0.16935,2.6151,1.77079,1.0862,0.0015248,0.0015248,0.0015248
14,1399.15,3.34096,2.5349,1.09708,0.67569,0.66667,0.69709,0.20748,2.48623,1.87807,0.98845,0.0014852,0.0014852,0.0014852
15,1497.93,3.00854,2.04377,1.07566,0.80861,0.78256,0.86004,0.30961,2.37609,1.4172,1.01775,0.0014456,0.0014456,0.0014456
16,1596.61,2.79431,1.9554,1.0242,0.7883,0.81481,0.85349,0.28213,2.40584,1.38879,0.96656,0.001406,0.001406,0.001406
17,1691.58,2.75223,1.85794,0.96518,0.92803,0.77778,0.91479,0.38087,2.08813,1.12398,0.95442,0.0013664,0.0013664,0.0013664
18,1789.27,2.51321,1.69216,0.98265,0.88064,0.81992,0.91122,0.32208,2.23586,1.34066,0.95219,0.0013268,0.0013268,0.0013268
19,1890.49,2.43692,1.64199,0.93043,0.90154,0.81481,0.90236,0.41223,2.01479,1.22972,0.94498,0.0012872,0.0012872,0.0012872
20,1987.65,2.46893,1.69849,0.93516,0.95236,0.74045,0.8941,0.31804,2.29042,1.13106,0.95379,0.0012476,0.0012476,0.0012476
21,2084.11,2.49927,1.67975,0.96603,0.73915,0.74074,0.69514,0.27342,2.20206,1.54165,0.93631,0.001208,0.001208,0.001208
22,2185.82,2.45296,1.6976,0.941,0.81344,0.80766,0.81333,0.38593,2.0048,1.34396,0.93754,0.0011684,0.0011684,0.0011684
23,2287.91,2.31784,1.48386,0.92771,0.93495,0.88889,0.94468,0.40297,2.0123,1.04821,0.93733,0.0011288,0.0011288,0.0011288
24,2374.83,2.35489,1.55037,0.9383,1,0.86857,0.94569,0.36206,2.10357,1.09821,0.94248,0.0010892,0.0010892,0.0010892
25,2466.94,2.23122,1.38418,0.93199,1,0.91915,0.95567,0.41766,1.9405,0.93084,0.93125,0.0010496,0.0010496,0.0010496
26,2560.9,2.17755,1.40057,0.92683,0.95527,0.92593,0.95183,0.40566,1.99151,0.98128,0.93037,0.00101,0.00101,0.00101
27,2661.33,2.15579,1.38175,0.91358,0.9114,0.92593,0.94723,0.40822,1.96606,0.9652,0.92934,0.0009704,0.0009704,0.0009704
28,2751.56,2.22042,1.4336,0.92519,0.98752,0.92593,0.9564,0.40049,2.0343,0.95807,0.93361,0.0009308,0.0009308,0.0009308
29,2853.61,2.22765,1.40912,0.8929,0.99258,0.88889,0.95466,0.39289,2.01281,0.9478,0.92839,0.0008912,0.0008912,0.0008912
30,2957.14,2.19808,1.43664,0.88949,0.854,0.88889,0.92599,0.34005,2.13531,1.08071,0.94145,0.0008516,0.0008516,0.0008516
31,3048.93,2.07009,1.25985,0.89886,0.9156,0.92593,0.93066,0.39431,1.85697,1.02877,0.92498,0.000812,0.000812,0.000812
32,3137.67,1.92787,1.21776,0.88167,0.918,0.92593,0.95085,0.43849,1.81224,1.00105,0.92229,0.0007724,0.0007724,0.0007724
